id,comment,like,text length,evaluation,evaluation,request,request,,,0,Negative
Jerwin Pagela,"In a Filipino's perspective, this kind of music is a little new to us as well. In their name SB19, SB means Sound Break which shows their advocacy of breaking the stereotypes of what the usual Filipino music is and also to show that Filipinos could also have a talent as to what Kpop Idols have. As to what they're also saying, they are still promoting PPop ( Filipino Pop Music) as they are using Filipino as a language for the lyrics. If you want to hear more of the power of their vocals you can try to listen and review to their debut song  ""Tilaluha"".",659,556,33,SS,0,Not-Request,,,1,Positive
Shiena Marie Elizalde,"Hi Taetae,  Im one of your avid subscribers from the Philippines.  Also,  Im one of the Aurums,  fandom of SB19. Many Filipinos are supporting them.  They are currently gaining recognition from their hardwork and dedication to their craft.  If you want to assess their vocals,  please react to their original songs TILALUHALOVE GOESHANGGANG SA HULII think you are the most credible person to assess them with regards to their vocals.. You'll never get dissapointed.. ..Lovelots from AURUM PHILIPPINES!!!",481,503,33,SS,1,Request,,,33,SS
Chel Sea,"They are gaining more attention because of their refreshing style which is very different from the normal style here in the Philippine music scene. They are, unfortunately, being criticized of being TOO Korean sounding by some Filipinos. Although, I beg to differ. So many Filipino groups have attempted to imitate Korea's music style to no avail because it was either awkward or borderline plagiarism. SB19, however, is the first group to attract this many people because of how they were able to combine both the Kpop influence and Filipino identity (with regards to their lyrics and visuals) well.It's great to see that the genres we have here in the Philippines is expanding.",243,679,33,SS,0,Not-Request,,,,
Jay Mel,Ako lang ba nakapansin na tapos munang basahin yung subtitle pero ang dami-dami pa niyang sinasabi? ,67,100,0,Negative,0,Not-Request,,,0,Not-Request
Rob L,"To be honest, they have an ok visuals but with an overflowing talents. They're good in singing, dancing, rapping, composing lyrics, very articulate and seemed intelectuals too. They debuted last year but only now that they got recognized by many filipinos. They're actually making history. They are the first legit filipino boy group that any filipinos can be proud of (no offense to other filipino groups but they need to step it up). I can feel their passion and their dedication. SB19's hardwork has paid off. Goodluck guys. Godbless.",149,537,33,SS,0,Not-Request,,,1,Request
Kei Castro,Half of the all kpop fandoms are filipino.Filipino loves kpop..And its time for us to support our own IDOLS ...,106,111,33,SS,0,Not-Request,,,,
Watch EXO MONSTER,Well SB19 is currently popular here in the Philippines and as for me as a Filipino I am proud that there is finally a filipino group of musicians that will be able to inspire more filipinos to pursue their dreams specifically in music. And as for the song it was actually addicting and pleasant to the ears and its the type of song that will be able to hook you into their world and their charms are overflowing as well. But just like what you have said i also felt quite saddened because i know that they are capable of doing more but the song weren't able to show their talents for the song doesn's have the part where you'll be surprised and etc. Well this is only my own insight so others opinion may differ :))) anyways thank you for reacting to them -fanboy from Philippines,137,780,33,SS,0,Not-Request,,,,
Once Midzy Days and Stays GOT7,"From my perspective, honestly, they aren't the most handsome Filipino boys out there but indeed they are very talented. There are alot of handsome boys here but there's nothing wrong with SB19 as long as they produce good music and stay humble. I'm totally fine with them.",58,272,33,SS,0,Not-Request,,,,
XCII,"Here in Philippines we focus on talent (vocal, dance) than visual.",97,66,33,SS,0,Not-Request,,,,
Ruji Lee,"True. It's been on the radio, TV and I've been watching the MV on YouTube repeatedly, I haven't gotten tired of this song.",171,122,33,SS,0,Not-Request,,,,
